y	x	label	showSelected1
0.54	1.25	0 (0.00)	1
0.54	3.75	0 (0.00)	1
0.54	6.25	1 (0.01)	1
0.54	1.25	1 (0.01)	2
0.54	3.75	0 (0.00)	2
0.54	6.25	1 (0.01)	2
0.54	1.25	2 (0.02)	3
0.54	3.75	0 (0.00)	3
0.54	6.25	1 (0.01)	3
0.54	1.25	3 (0.03)	4
0.54	3.75	0 (0.00)	4
0.54	6.25	1 (0.01)	4
0.54	1.25	4 (0.04)	5
0.54	3.75	0 (0.00)	5
0.54	6.25	1 (0.01)	5
0.54	1.25	4 (0.04)	6
0.54	3.75	0 (0.00)	6
0.54	6.25	2 (0.02)	6
0.54	1.25	5 (0.05)	7
0.54	3.75	0 (0.00)	7
0.54	6.25	2 (0.02)	7
0.54	1.25	6 (0.06)	8
0.54	3.75	0 (0.00)	8
0.54	6.25	2 (0.02)	8
0.54	1.25	7 (0.07)	9
0.54	3.75	0 (0.00)	9
0.54	6.25	2 (0.02)	9
0.54	1.25	8 (0.08)	10
0.54	3.75	0 (0.00)	10
0.54	6.25	2 (0.02)	10
0.54	1.25	9 (0.09)	11
0.54	3.75	0 (0.00)	11
0.54	6.25	2 (0.02)	11
0.54	1.25	10 (0.10)	12
0.54	3.75	0 (0.00)	12
0.54	6.25	2 (0.02)	12
0.54	1.25	11 (0.11)	13
0.54	3.75	0 (0.00)	13
0.54	6.25	2 (0.02)	13
0.54	1.25	12 (0.12)	14
0.54	3.75	0 (0.00)	14
0.54	6.25	2 (0.02)	14
0.54	1.25	12 (0.12)	15
0.54	3.75	0 (0.00)	15
0.54	6.25	3 (0.03)	15
0.54	1.25	13 (0.13)	16
0.54	3.75	0 (0.00)	16
0.54	6.25	3 (0.03)	16
0.54	1.25	13 (0.13)	17
0.54	3.75	0 (0.00)	17
0.54	6.25	4 (0.04)	17
0.54	1.25	13 (0.13)	18
0.54	3.75	0 (0.00)	18
0.54	6.25	5 (0.05)	18
0.54	1.25	13 (0.13)	19
0.54	3.75	0 (0.00)	19
0.54	6.25	6 (0.06)	19
0.54	1.25	14 (0.14)	20
0.54	3.75	0 (0.00)	20
0.54	6.25	6 (0.06)	20
0.54	1.25	14 (0.14)	21
0.54	3.75	0 (0.00)	21
0.54	6.25	7 (0.07)	21
0.54	1.25	14 (0.14)	22
0.54	3.75	0 (0.00)	22
0.54	6.25	8 (0.08)	22
0.54	1.25	14 (0.14)	23
0.54	3.75	1 (0.01)	23
0.54	6.25	8 (0.08)	23
0.54	1.25	14 (0.14)	24
0.54	3.75	1 (0.01)	24
0.54	6.25	9 (0.09)	24
0.54	1.25	14 (0.14)	25
0.54	3.75	1 (0.01)	25
0.54	6.25	10 (0.10)	25
0.54	1.25	15 (0.15)	26
0.54	3.75	1 (0.01)	26
0.54	6.25	10 (0.10)	26
0.54	1.25	16 (0.16)	27
0.54	3.75	1 (0.01)	27
0.54	6.25	10 (0.10)	27
0.54	1.25	17 (0.17)	28
0.54	3.75	1 (0.01)	28
0.54	6.25	10 (0.10)	28
0.54	1.25	18 (0.18)	29
0.54	3.75	1 (0.01)	29
0.54	6.25	10 (0.10)	29
0.54	1.25	18 (0.18)	30
0.54	3.75	1 (0.01)	30
0.54	6.25	11 (0.11)	30
0.54	1.25	19 (0.19)	31
0.54	3.75	1 (0.01)	31
0.54	6.25	11 (0.11)	31
0.54	1.25	20 (0.20)	32
0.54	3.75	1 (0.01)	32
0.54	6.25	11 (0.11)	32
0.54	1.25	21 (0.21)	33
0.54	3.75	1 (0.01)	33
0.54	6.25	11 (0.11)	33
0.54	1.25	22 (0.22)	34
0.54	3.75	1 (0.01)	34
0.54	6.25	11 (0.11)	34
0.54	1.25	22 (0.22)	35
0.54	3.75	2 (0.02)	35
0.54	6.25	11 (0.11)	35
0.54	1.25	22 (0.22)	36
0.54	3.75	2 (0.02)	36
0.54	6.25	12 (0.12)	36
0.54	1.25	23 (0.23)	37
0.54	3.75	2 (0.02)	37
0.54	6.25	12 (0.12)	37
0.54	1.25	24 (0.24)	38
0.54	3.75	2 (0.02)	38
0.54	6.25	12 (0.12)	38
0.54	1.25	25 (0.25)	39
0.54	3.75	2 (0.02)	39
0.54	6.25	12 (0.12)	39
0.54	1.25	25 (0.25)	40
0.54	3.75	2 (0.02)	40
0.54	6.25	13 (0.13)	40
0.54	1.25	26 (0.26)	41
0.54	3.75	2 (0.02)	41
0.54	6.25	13 (0.13)	41
0.54	1.25	27 (0.27)	42
0.54	3.75	2 (0.02)	42
0.54	6.25	13 (0.13)	42
0.54	1.25	27 (0.27)	43
0.54	3.75	2 (0.02)	43
0.54	6.25	14 (0.14)	43
0.54	1.25	27 (0.27)	44
0.54	3.75	2 (0.02)	44
0.54	6.25	15 (0.15)	44
0.54	1.25	28 (0.28)	45
0.54	3.75	2 (0.02)	45
0.54	6.25	15 (0.15)	45
0.54	1.25	29 (0.29)	46
0.54	3.75	2 (0.02)	46
0.54	6.25	15 (0.15)	46
0.54	1.25	29 (0.29)	47
0.54	3.75	2 (0.02)	47
0.54	6.25	16 (0.16)	47
0.54	1.25	29 (0.29)	48
0.54	3.75	3 (0.03)	48
0.54	6.25	16 (0.16)	48
0.54	1.25	30 (0.30)	49
0.54	3.75	3 (0.03)	49
0.54	6.25	16 (0.16)	49
0.54	1.25	30 (0.30)	50
0.54	3.75	3 (0.03)	50
0.54	6.25	17 (0.17)	50
0.54	1.25	31 (0.31)	51
0.54	3.75	3 (0.03)	51
0.54	6.25	17 (0.17)	51
0.54	1.25	31 (0.31)	52
0.54	3.75	4 (0.04)	52
0.54	6.25	17 (0.17)	52
0.54	1.25	32 (0.32)	53
0.54	3.75	4 (0.04)	53
0.54	6.25	17 (0.17)	53
0.54	1.25	33 (0.33)	54
0.54	3.75	4 (0.04)	54
0.54	6.25	17 (0.17)	54
0.54	1.25	34 (0.34)	55
0.54	3.75	4 (0.04)	55
0.54	6.25	17 (0.17)	55
0.54	1.25	34 (0.34)	56
0.54	3.75	5 (0.05)	56
0.54	6.25	17 (0.17)	56
0.54	1.25	35 (0.35)	57
0.54	3.75	5 (0.05)	57
0.54	6.25	17 (0.17)	57
0.54	1.25	36 (0.36)	58
0.54	3.75	5 (0.05)	58
0.54	6.25	17 (0.17)	58
0.54	1.25	37 (0.37)	59
0.54	3.75	5 (0.05)	59
0.54	6.25	17 (0.17)	59
0.54	1.25	38 (0.38)	60
0.54	3.75	5 (0.05)	60
0.54	6.25	17 (0.17)	60
0.54	1.25	38 (0.38)	61
0.54	3.75	5 (0.05)	61
0.54	6.25	18 (0.18)	61
0.54	1.25	38 (0.38)	62
0.54	3.75	5 (0.05)	62
0.54	6.25	19 (0.19)	62
0.54	1.25	38 (0.38)	63
0.54	3.75	5 (0.05)	63
0.54	6.25	20 (0.20)	63
0.54	1.25	38 (0.38)	64
0.54	3.75	5 (0.05)	64
0.54	6.25	21 (0.21)	64
0.54	1.25	38 (0.38)	65
0.54	3.75	6 (0.06)	65
0.54	6.25	21 (0.21)	65
0.54	1.25	38 (0.38)	66
0.54	3.75	6 (0.06)	66
0.54	6.25	22 (0.22)	66
0.54	1.25	39 (0.39)	67
0.54	3.75	6 (0.06)	67
0.54	6.25	22 (0.22)	67
0.54	1.25	40 (0.40)	68
0.54	3.75	6 (0.06)	68
0.54	6.25	22 (0.22)	68
0.54	1.25	41 (0.41)	69
0.54	3.75	6 (0.06)	69
0.54	6.25	22 (0.22)	69
0.54	1.25	41 (0.41)	70
0.54	3.75	6 (0.06)	70
0.54	6.25	23 (0.23)	70
0.54	1.25	41 (0.41)	71
0.54	3.75	6 (0.06)	71
0.54	6.25	24 (0.24)	71
0.54	1.25	42 (0.42)	72
0.54	3.75	6 (0.06)	72
0.54	6.25	24 (0.24)	72
0.54	1.25	42 (0.42)	73
0.54	3.75	6 (0.06)	73
0.54	6.25	25 (0.25)	73
0.54	1.25	43 (0.43)	74
0.54	3.75	6 (0.06)	74
0.54	6.25	25 (0.25)	74
0.54	1.25	43 (0.43)	75
0.54	3.75	6 (0.06)	75
0.54	6.25	26 (0.26)	75
0.54	1.25	43 (0.43)	76
0.54	3.75	7 (0.07)	76
0.54	6.25	26 (0.26)	76
0.54	1.25	43 (0.43)	77
0.54	3.75	7 (0.07)	77
0.54	6.25	27 (0.27)	77
0.54	1.25	43 (0.43)	78
0.54	3.75	7 (0.07)	78
0.54	6.25	28 (0.28)	78
0.54	1.25	44 (0.44)	79
0.54	3.75	7 (0.07)	79
0.54	6.25	28 (0.28)	79
0.54	1.25	44 (0.44)	80
0.54	3.75	8 (0.08)	80
0.54	6.25	28 (0.28)	80
0.54	1.25	45 (0.45)	81
0.54	3.75	8 (0.08)	81
0.54	6.25	28 (0.28)	81
0.54	1.25	46 (0.46)	82
0.54	3.75	8 (0.08)	82
0.54	6.25	28 (0.28)	82
0.54	1.25	46 (0.46)	83
0.54	3.75	8 (0.08)	83
0.54	6.25	29 (0.29)	83
0.54	1.25	46 (0.46)	84
0.54	3.75	8 (0.08)	84
0.54	6.25	30 (0.30)	84
0.54	1.25	46 (0.46)	85
0.54	3.75	8 (0.08)	85
0.54	6.25	31 (0.31)	85
0.54	1.25	46 (0.46)	86
0.54	3.75	8 (0.08)	86
0.54	6.25	32 (0.32)	86
0.54	1.25	46 (0.46)	87
0.54	3.75	8 (0.08)	87
0.54	6.25	33 (0.33)	87
0.54	1.25	47 (0.47)	88
0.54	3.75	8 (0.08)	88
0.54	6.25	33 (0.33)	88
0.54	1.25	48 (0.48)	89
0.54	3.75	8 (0.08)	89
0.54	6.25	33 (0.33)	89
0.54	1.25	49 (0.49)	90
0.54	3.75	8 (0.08)	90
0.54	6.25	33 (0.33)	90
0.54	1.25	49 (0.49)	91
0.54	3.75	8 (0.08)	91
0.54	6.25	34 (0.34)	91
0.54	1.25	49 (0.49)	92
0.54	3.75	8 (0.08)	92
0.54	6.25	35 (0.35)	92
0.54	1.25	49 (0.49)	93
0.54	3.75	8 (0.08)	93
0.54	6.25	36 (0.36)	93
0.54	1.25	50 (0.50)	94
0.54	3.75	8 (0.08)	94
0.54	6.25	36 (0.36)	94
0.54	1.25	50 (0.50)	95
0.54	3.75	8 (0.08)	95
0.54	6.25	37 (0.37)	95
0.54	1.25	50 (0.50)	96
0.54	3.75	8 (0.08)	96
0.54	6.25	38 (0.38)	96
0.54	1.25	50 (0.50)	97
0.54	3.75	8 (0.08)	97
0.54	6.25	39 (0.39)	97
0.54	1.25	51 (0.51)	98
0.54	3.75	8 (0.08)	98
0.54	6.25	39 (0.39)	98
0.54	1.25	51 (0.51)	99
0.54	3.75	8 (0.08)	99
0.54	6.25	40 (0.40)	99
0.54	1.25	51 (0.51)	100
0.54	3.75	9 (0.09)	100
0.54	6.25	40 (0.40)	100
